Date,Baseline,BBP & OBV & RSI & AU & WPR,BBP & OBV & RSI & AD & WPR,BBP & OBV & RSI & S & WPR,BBP & OBV & AU & AD & WPR,BBP & OBV & AU & S & WPR,BBP & OBV & AD & S & WPR,BBP & RSI & AU & AD & WPR,BBP & RSI & AU & S & WPR,BBP & RSI & AD & S & WPR,BBP & AU & AD & S & WPR,OBV & RSI & AU & AD & WPR,OBV & RSI & AU & S & WPR,OBV & RSI & AD & S & WPR,OBV & AU & AD & S & WPR,RSI & AU & AD & S & WPR
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,-460.0,460.0,460.0,460.0,460.0
2018-01-04,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,-410.0,410.0,410.0,410.0,410.0
2018-01-05,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,180.0,-180.0,-180.0,-180.0,-180.0
2018-01-08,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,1740.0,-1740.0,-1740.0,-1740.0,-1740.0
2018-01-09,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,1810.0,-1810.0,-1810.0,-1810.0,-1810.0
2018-01-10,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,2270.0,-2270.0,-2270.0,-2270.0,-2270.0
2018-01-11,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,790.0,-790.0,-790.0,-790.0,-790.0
2018-01-12,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,-650.0,650.0,650.0,650.0,650.0
2018-01-16,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,1080.0,-1080.0,-1080.0,-1080.0,-1080.0
2018-01-17,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,-160.0,160.0,160.0,160.0,160.0
2018-01-18,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,1350.0,-1350.0,-1350.0,-1350.0,-1350.0
2018-01-19,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,1180.0,-1180.0,-1180.0,-1180.0,-1180.0
2018-01-22,-680.0,-680.0,-680.0,-680.0,-680.0,-680.0,-680.0,-680.0,-680.0,-680.0,-680.0,680.0,-680.0,-680.0,-680.0,-680.0
2018-01-23,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,1360.0,-1360.0,-1360.0,-1360.0,-1360.0
2018-01-24,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,1270.0,-1270.0,-1270.0,-1270.0,-1270.0
2018-01-25,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,1220.0,-1220.0,-1220.0,-1220.0,-1220.0
2018-01-26,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,-380.0,380.0,380.0,380.0,380.0
2018-01-29,-260.0,-260.0,-260.0,-260.0,-260.0,-260.0,-260.0,-260.0,-260.0,-260.0,-260.0,260.0,-260.0,-260.0,-260.0,-260.0
2018-01-30,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,260.0,-1650.0,-1650.0,-1650.0,-1650.0
2018-01-31,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-1140.0,-3050.0,-3050.0,-3050.0,-3050.0
2018-02-01,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,630.0,-1280.0,-1280.0,-1280.0,-1280.0
2018-02-02,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-1110.0,-3020.0,-3020.0,-3020.0,-3020.0
