Date,Baseline,BBP & OBV & RSI & AU & WPR,BBP & OBV & RSI & AD & WPR,BBP & OBV & RSI & S & WPR,BBP & OBV & AU & AD & WPR,BBP & OBV & AU & S & WPR,BBP & OBV & AD & S & WPR,BBP & RSI & AU & AD & WPR,BBP & RSI & AU & S & WPR,BBP & RSI & AD & S & WPR,BBP & AU & AD & S & WPR,OBV & RSI & AU & AD & WPR,OBV & RSI & AU & S & WPR,OBV & RSI & AD & S & WPR,OBV & AU & AD & S & WPR,RSI & AU & AD & S & WPR
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0
2020-01-06,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0
2020-01-07,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0
2020-01-08,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0
2020-01-09,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0
2020-01-10,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0
2020-01-13,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0
2020-01-14,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0
2020-01-15,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0
2020-01-16,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0
2020-01-17,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0
2020-01-21,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0
2020-01-22,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0
2020-01-23,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0
2020-01-24,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-6000.0
2020-01-27,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-6000.0
2020-01-28,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-6000.0
2020-01-29,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,-8310.0
2020-01-30,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-8310.0
2020-01-31,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-7810.0
2020-02-03,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-4800.0
2020-02-04,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-1390.0
2020-02-05,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-4750.0
2020-02-06,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-6830.0,-5500.0,-5500.0,-5500.0,-3420.0
2020-02-07,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-8510.0,-7180.0,-7180.0,-7180.0,-5100.0
2020-02-10,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-8510.0,-5610.0,-5610.0,-5610.0,-3530.0
2020-02-11,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-8510.0,-7190.0,-7190.0,-7190.0,-5110.0
2020-02-12,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-8510.0,-6350.0,-6350.0,-6350.0,-4270.0
2020-02-13,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7560.0,-7300.0,-7300.0,-7300.0,-5220.0
2020-02-14,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,-6200.0,-8660.0,-8660.0,-8660.0,-6580.0
2020-02-18,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,-5800.0,-9060.0,-9060.0,-9060.0,-6980.0
2020-02-19,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,-5800.0,-6900.0,-6900.0,-6900.0,-4820.0
2020-02-20,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,-6730.0,-7830.0,-7830.0,-7830.0,-5750.0
2020-02-21,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,-8130.0,-9230.0,-9230.0,-9230.0,-7150.0
2020-02-24,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,-14090.0,-15190.0,-15190.0,-15190.0,-7150.0
2020-02-25,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,-18910.0,-20010.0,-20010.0,-20010.0,-11970.0
2020-02-26,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,-23740.0,-24840.0,-24840.0,-24840.0,-11970.0
2020-02-27,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,-29060.0,-30160.0,-30160.0,-30160.0,-11970.0
2020-02-28,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-29450.0,-30550.0,-30550.0,-30550.0,-11970.0
2020-03-02,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,-27120.0,-28220.0,-28220.0,-28220.0,-11970.0
2020-03-03,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,-30650.0,-31750.0,-31750.0,-31750.0,-11970.0
2020-03-04,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,-27920.0,-29020.0,-29020.0,-29020.0,-11970.0
2020-03-05,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,-33120.0,-34220.0,-34220.0,-34220.0,-17170.0
2020-03-06,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,-31830.0,-32930.0,-32930.0,-32930.0,-17170.0
2020-03-09,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,-42750.0,-43850.0,-43850.0,-43850.0,-17170.0
2020-03-10,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,-35640.0,-36740.0,-36740.0,-36740.0,-17170.0
2020-03-11,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,-41590.0,-42690.0,-42690.0,-42690.0,-23120.0
2020-03-12,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,-55290.0,-56390.0,-56390.0,-56390.0,-23120.0
2020-03-13,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,-44580.0,-45680.0,-45680.0,-45680.0,-23120.0
2020-03-16,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,-52090.0,-53190.0,-53190.0,-53190.0,-30630.0
2020-03-17,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,-53570.0,-54670.0,-54670.0,-54670.0,-32110.0
2020-03-18,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,-58300.0,-59400.0,-59400.0,-59400.0,-36840.0
2020-03-19,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,-52170.0,-53270.0,-53270.0,-53270.0,-30710.0
2020-03-20,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,-61120.0,-62220.0,-62220.0,-62220.0,-39660.0
2020-03-23,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,-61340.0,-62440.0,-62440.0,-62440.0,-39880.0
2020-03-24,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,-48980.0,-50080.0,-50080.0,-50080.0,-27520.0
2020-03-25,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,-46370.0,-47470.0,-47470.0,-47470.0,-24910.0
2020-03-26,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,-41740.0,-42840.0,-42840.0,-42840.0,-20280.0
2020-03-27,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,-50700.0,-51800.0,-51800.0,-51800.0,-29240.0
2020-03-30,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,-47300.0,-48400.0,-48400.0,-48400.0,-25840.0
