Date,Baseline,BBP & OBV & RSI & WPR,BBP & OBV & AU & WPR,BBP & OBV & AD & WPR,BBP & OBV & S & WPR,BBP & RSI & AU & WPR,BBP & RSI & AD & WPR,BBP & RSI & S & WPR,BBP & AU & AD & WPR,BBP & AU & S & WPR,BBP & AD & S & WPR,OBV & RSI & AU & WPR,OBV & RSI & AD & WPR,OBV & RSI & S & WPR,OBV & AU & AD & WPR,OBV & AU & S & WPR,OBV & AD & S & WPR,RSI & AU & AD & WPR,RSI & AU & S & WPR,RSI & AD & S & WPR,AU & AD & S & WPR
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,460.0,-460.0,460.0,460.0,460.0,0.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,-460.0,-460.0,460.0,460.0
2018-01-04,410.0,-510.0,410.0,410.0,410.0,0.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,-410.0,-460.0,410.0,410.0
2018-01-05,-180.0,80.0,-180.0,-180.0,-180.0,0.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,180.0,130.0,-180.0,-180.0
2018-01-08,-1740.0,-1480.0,-1740.0,-1740.0,-1740.0,0.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,1740.0,130.0,-1740.0,-1740.0
2018-01-09,-1810.0,-1410.0,-1810.0,-1810.0,-1810.0,0.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,1810.0,200.0,-1810.0,-1810.0
2018-01-10,-2270.0,-1870.0,-2270.0,-2270.0,-2270.0,0.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,2270.0,200.0,-2270.0,-2270.0
2018-01-11,-790.0,-3350.0,-790.0,-790.0,-790.0,0.0,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,790.0,-1280.0,-790.0,-790.0
2018-01-12,650.0,-1910.0,650.0,650.0,650.0,0.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,-650.0,-1280.0,650.0,650.0
2018-01-16,-1080.0,-180.0,-1080.0,-1080.0,-1080.0,0.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,1080.0,450.0,-1080.0,-1080.0
2018-01-17,160.0,1060.0,160.0,160.0,160.0,0.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,-160.0,450.0,160.0,160.0
2018-01-18,-1350.0,2570.0,-1350.0,-1350.0,-1350.0,0.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,1350.0,1960.0,-1350.0,-1350.0
2018-01-19,-1180.0,2740.0,-1180.0,-1180.0,-1180.0,0.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,1180.0,1960.0,-1180.0,-1180.0
2018-01-22,-680.0,2240.0,-680.0,-680.0,-680.0,0.0,-680.0,-680.0,-680.0,-680.0,-680.0,-680.0,-680.0,-680.0,-680.0,-680.0,-680.0,680.0,1460.0,-680.0,-680.0
2018-01-23,-1360.0,1560.0,-1360.0,-1360.0,-1360.0,0.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,1360.0,1460.0,-1360.0,-1360.0
2018-01-24,-1270.0,1470.0,-1270.0,-1270.0,-1270.0,-90.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,1270.0,1370.0,-1270.0,-1270.0
2018-01-25,-1220.0,1520.0,-1220.0,-1220.0,-1220.0,-140.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,1220.0,1370.0,-1220.0,-1220.0
2018-01-26,380.0,-80.0,380.0,380.0,380.0,-1740.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,-380.0,-230.0,380.0,380.0
2018-01-29,-260.0,-720.0,-260.0,-260.0,-260.0,-1740.0,-260.0,-260.0,-260.0,-260.0,-260.0,-260.0,-260.0,-260.0,-260.0,-260.0,-260.0,260.0,-230.0,-260.0,-260.0
2018-01-30,-1650.0,670.0,-1650.0,-1650.0,-1650.0,-1740.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,1650.0,1160.0,-1650.0,-1650.0
2018-01-31,-3050.0,-730.0,-3050.0,-3050.0,-3050.0,-340.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,3050.0,1160.0,-3050.0,-3050.0
2018-02-01,-1280.0,-2500.0,-1280.0,-1280.0,-1280.0,1430.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,1280.0,-610.0,-1280.0,-1280.0
2018-02-02,-3020.0,-4240.0,-3020.0,-3020.0,-3020.0,1430.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,3020.0,-610.0,-3020.0,-3020.0
2018-02-05,-6910.0,-350.0,-6910.0,-6910.0,-6910.0,-2460.0,-6910.0,-6910.0,-6910.0,-6910.0,-6910.0,-6910.0,-6910.0,-6910.0,-6910.0,-6910.0,-6910.0,6910.0,3280.0,-6910.0,-6910.0
2018-02-06,-5480.0,1080.0,-5480.0,-5480.0,-5480.0,-1030.0,-5480.0,-5480.0,-5480.0,-5480.0,-5480.0,-5480.0,-5480.0,-5480.0,-5480.0,-5480.0,-5480.0,5480.0,3280.0,-5480.0,-5480.0
2018-02-07,-6850.0,2450.0,-6850.0,-6850.0,-6850.0,340.0,-6850.0,-6850.0,-6850.0,-6850.0,-6850.0,-6850.0,-6850.0,-6850.0,-6850.0,-6850.0,-6850.0,6850.0,4650.0,-6850.0,-6850.0
2018-02-08,-10170.0,-870.0,-10170.0,-10170.0,-10170.0,-2980.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,10170.0,4650.0,-10170.0,-10170.0
2018-02-09,-8470.0,-2570.0,-8470.0,-8470.0,-8470.0,-1280.0,-8470.0,-8470.0,-8470.0,-8470.0,-8470.0,-8470.0,-8470.0,-8470.0,-8470.0,-8470.0,-8470.0,8470.0,2950.0,-8470.0,-8470.0
2018-02-12,-8180.0,-2280.0,-8180.0,-8180.0,-8180.0,-1570.0,-8180.0,-8180.0,-8180.0,-8180.0,-8180.0,-8180.0,-8180.0,-8180.0,-8180.0,-8180.0,-8180.0,8180.0,2950.0,-8180.0,-8180.0
2018-02-13,-7470.0,-2990.0,-7470.0,-7470.0,-7470.0,-2280.0,-7470.0,-7470.0,-7470.0,-7470.0,-7470.0,-7470.0,-7470.0,-7470.0,-7470.0,-7470.0,-7470.0,7470.0,2240.0,-7470.0,-7470.0
2018-02-14,-7010.0,-2530.0,-7010.0,-7010.0,-7010.0,-2740.0,-7010.0,-7010.0,-7010.0,-7010.0,-7010.0,-7010.0,-7010.0,-7010.0,-7010.0,-7010.0,-7010.0,7010.0,2240.0,-7010.0,-7010.0
2018-02-15,-6440.0,-3100.0,-6440.0,-6440.0,-6440.0,-3310.0,-6440.0,-6440.0,-6440.0,-6440.0,-6440.0,-6440.0,-6440.0,-6440.0,-6440.0,-6440.0,-6440.0,6440.0,1670.0,-6440.0,-6440.0
2018-02-16,-5130.0,-1790.0,-5130.0,-5130.0,-5130.0,-4620.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,5130.0,1670.0,-5130.0,-5130.0
2018-02-20,-5660.0,-1260.0,-5660.0,-5660.0,-5660.0,-4620.0,-5660.0,-5660.0,-5660.0,-5660.0,-5660.0,-5660.0,-5660.0,-5660.0,-5660.0,-5660.0,-5660.0,5660.0,2200.0,-5660.0,-5660.0
2018-02-21,-6570.0,-2170.0,-6570.0,-6570.0,-6570.0,-4620.0,-6570.0,-6570.0,-6570.0,-6570.0,-6570.0,-6570.0,-6570.0,-6570.0,-6570.0,-6570.0,-6570.0,6570.0,2200.0,-6570.0,-6570.0
2018-02-22,-6380.0,-2360.0,-6380.0,-6380.0,-6380.0,-4810.0,-6380.0,-6380.0,-6380.0,-6380.0,-6380.0,-6380.0,-6380.0,-6380.0,-6380.0,-6380.0,-6380.0,6380.0,2010.0,-6380.0,-6380.0
2018-02-23,-4430.0,-410.0,-4430.0,-4430.0,-4430.0,-4810.0,-4430.0,-4430.0,-4430.0,-4430.0,-4430.0,-4430.0,-4430.0,-4430.0,-4430.0,-4430.0,-4430.0,4430.0,2010.0,-4430.0,-4430.0
2018-02-26,-1940.0,-2900.0,-1940.0,-1940.0,-1940.0,-4810.0,-1940.0,-1940.0,-1940.0,-1940.0,-1940.0,-1940.0,-1940.0,-1940.0,-1940.0,-1940.0,-1940.0,1940.0,-480.0,-1940.0,-1940.0
2018-02-27,-6740.0,-7700.0,-6740.0,-6740.0,-6740.0,-4810.0,-6740.0,-6740.0,-1940.0,-6740.0,-6740.0,-6740.0,-6740.0,-6740.0,-6740.0,-6740.0,-6740.0,6740.0,-480.0,-6740.0,-6740.0
2018-02-28,-8410.0,-6030.0,-8410.0,-8410.0,-8410.0,-3140.0,-8410.0,-8410.0,-3610.0,-8410.0,-8410.0,-8410.0,-8410.0,-8410.0,-8410.0,-8410.0,-8410.0,8410.0,1190.0,-8410.0,-8410.0
2018-03-01,-8980.0,-6600.0,-8980.0,-8980.0,-8980.0,-2570.0,-8980.0,-8980.0,-4180.0,-8980.0,-8980.0,-8980.0,-8980.0,-8980.0,-8980.0,-8980.0,-8980.0,8980.0,1190.0,-8980.0,-8980.0
2018-03-02,-8570.0,-7010.0,-8570.0,-8570.0,-8570.0,-2160.0,-8570.0,-8570.0,-3770.0,-8570.0,-8570.0,-8570.0,-8570.0,-8570.0,-8570.0,-8570.0,-8570.0,8570.0,780.0,-8570.0,-8570.0
2018-03-05,-8160.0,-6600.0,-8160.0,-8160.0,-8160.0,-1750.0,-8160.0,-8160.0,-3360.0,-8160.0,-8160.0,-8160.0,-8160.0,-8160.0,-8160.0,-8160.0,-8160.0,8160.0,780.0,-8160.0,-8160.0
2018-03-06,-6680.0,-8080.0,-6680.0,-6680.0,-6680.0,-3230.0,-6680.0,-6680.0,-1880.0,-6680.0,-6680.0,-6680.0,-6680.0,-6680.0,-6680.0,-6680.0,-6680.0,6680.0,-700.0,-6680.0,-6680.0
2018-03-07,-7990.0,-9390.0,-7990.0,-7990.0,-7990.0,-1920.0,-7990.0,-7990.0,-3190.0,-7990.0,-7990.0,-7990.0,-7990.0,-7990.0,-7990.0,-7990.0,-7990.0,7990.0,-700.0,-7990.0,-7990.0
2018-03-08,-7560.0,-9820.0,-7560.0,-7560.0,-7560.0,-2350.0,-7560.0,-7560.0,-2760.0,-7560.0,-7560.0,-7560.0,-7560.0,-7560.0,-7560.0,-7560.0,-7560.0,7560.0,-1130.0,-7560.0,-7560.0
2018-03-09,-6880.0,-9140.0,-6880.0,-6880.0,-6880.0,-3030.0,-6880.0,-6880.0,-2080.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,6880.0,-1130.0,-6880.0,-6880.0
