Date,Baseline,BBP & OBV & WPR,BBP & RSI & WPR,BBP & AU & WPR,BBP & AD & WPR,BBP & S & WPR,OBV & RSI & WPR,OBV & AU & WPR,OBV & AD & WPR,OBV & S & WPR,RSI & AU & WPR,RSI & AD & WPR,RSI & S & WPR,AU & AD & WPR,AU & S & WPR,AD & S & WPR
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2018-01-03,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,0.0,460.0,460.0,460.0,460.0,460.0,0,460.0
2018-01-04,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,0.0,410.0,410.0,410.0,410.0,410.0,0,410.0
2018-01-05,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,0.0,-180.0,-180.0,-180.0,-180.0,-180.0,0,-180.0
2018-01-08,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,0.0,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,0,-1740.0
2018-01-09,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,0.0,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,0,-1810.0
2018-01-10,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,0.0,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,0,-2270.0
2018-01-11,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,-790.0,0.0,-790.0,-790.0,-790.0,-790.0,-790.0,0,-790.0
2018-01-12,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,1440.0,650.0,650.0,650.0,650.0,650.0,0,650.0
2018-01-16,-1080.0,2380.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-290.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,0,-1080.0
2018-01-17,160.0,3620.0,160.0,160.0,160.0,160.0,160.0,160.0,950.0,160.0,160.0,160.0,160.0,160.0,0,160.0
2018-01-18,-1350.0,5130.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,-560.0,-1350.0,-1350.0,-1350.0,-1350.0,-1350.0,0,-1350.0
2018-01-19,-1180.0,5300.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,-560.0,-1180.0,-1180.0,-1180.0,-1180.0,-1180.0,0,-1180.0
2018-01-22,-680.0,4800.0,-680.0,-680.0,-680.0,-680.0,-680.0,-680.0,-60.0,-680.0,-680.0,-680.0,-680.0,-680.0,0,-680.0
2018-01-23,-1360.0,5480.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-740.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,0,-1360.0
2018-01-24,-1270.0,5570.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,-740.0,-1270.0,-1270.0,-1270.0,-1270.0,-1270.0,0,-1270.0
2018-01-25,-1220.0,5520.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,-740.0,-1220.0,-1220.0,-1220.0,-1220.0,-1220.0,0,-1220.0
2018-01-26,380.0,7120.0,380.0,380.0,380.0,380.0,380.0,380.0,-740.0,380.0,380.0,380.0,380.0,380.0,0,380.0
2018-01-29,-260.0,6480.0,-260.0,-260.0,-260.0,-260.0,-260.0,-260.0,-1380.0,-260.0,-260.0,-260.0,-260.0,-260.0,0,-260.0
2018-01-30,-1650.0,5090.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,-2770.0,-1650.0,-1650.0,-1650.0,-1650.0,-1650.0,0,-1650.0
2018-01-31,-3050.0,6490.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,-2770.0,-3050.0,-3050.0,-3050.0,-3050.0,-3050.0,0,-3050.0
2018-02-01,-1280.0,8260.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,-2770.0,-1280.0,-1280.0,-1280.0,-1280.0,-1280.0,0,-1280.0
2018-02-02,-3020.0,10000.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-4510.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,0,-3020.0
2018-02-05,-6910.0,6110.0,-6910.0,-6910.0,-6910.0,-6910.0,-6910.0,-6910.0,-4510.0,-6910.0,-6910.0,-6910.0,-6910.0,-6910.0,0,-6910.0
2018-02-06,-5480.0,7540.0,-5480.0,-5480.0,-5480.0,-5480.0,-5480.0,-5480.0,-4510.0,-5480.0,-5480.0,-5480.0,-5480.0,-5480.0,0,-5480.0
2018-02-07,-6850.0,8910.0,-6850.0,-6850.0,-6850.0,-6850.0,-6850.0,-6850.0,-4510.0,-6850.0,-6850.0,-6850.0,-6850.0,-6850.0,0,-6850.0
2018-02-08,-10170.0,5590.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,-4510.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,0,-10170.0
2018-02-09,-8470.0,7290.0,-8470.0,-8470.0,-8470.0,-8470.0,-8470.0,-8470.0,-4510.0,-8470.0,-8470.0,-8470.0,-8470.0,-8470.0,0,-8470.0
2018-02-12,-8180.0,7580.0,-8180.0,-8180.0,-8180.0,-8180.0,-8180.0,-8180.0,-4510.0,-8180.0,-8180.0,-8180.0,-8180.0,-8180.0,0,-8180.0
2018-02-13,-7470.0,6870.0,-7470.0,-7470.0,-7470.0,-7470.0,-7470.0,-7470.0,-4510.0,-7470.0,-7470.0,-7470.0,-7470.0,-7470.0,0,-7470.0
2018-02-14,-7010.0,6410.0,-7010.0,-7010.0,-7010.0,-7010.0,-7010.0,-7010.0,-4510.0,-7010.0,-7010.0,-7010.0,-7010.0,-7010.0,0,-7010.0
2018-02-15,-6440.0,6980.0,-6440.0,-6440.0,-6440.0,-6440.0,-6440.0,-6440.0,-4510.0,-6440.0,-6440.0,-6440.0,-6440.0,-6440.0,0,-6440.0
2018-02-16,-5130.0,8290.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,-4510.0,-5130.0,-5130.0,-5130.0,-5130.0,-5130.0,0,-5130.0
2018-02-20,-5660.0,7760.0,-5660.0,-5660.0,-5660.0,-5660.0,-5660.0,-5660.0,-5040.0,-5660.0,-5660.0,-5660.0,-5660.0,-5660.0,0,-5660.0
2018-02-21,-6570.0,6850.0,-6570.0,-6570.0,-6570.0,-6570.0,-6570.0,-6570.0,-5950.0,-6570.0,-6570.0,-6570.0,-6570.0,-6570.0,0,-6570.0
2018-02-22,-6380.0,7040.0,-6380.0,-6380.0,-6380.0,-6380.0,-6380.0,-6380.0,-5950.0,-6380.0,-6380.0,-6380.0,-6380.0,-6380.0,0,-6380.0
2018-02-23,-4430.0,8990.0,-4430.0,-4430.0,-4430.0,-4430.0,-4430.0,-4430.0,-4000.0,-4430.0,-4430.0,-4430.0,-4430.0,-4430.0,0,-4430.0
2018-02-26,-1940.0,11480.0,-1940.0,-1940.0,-1940.0,-1940.0,-1940.0,-1940.0,-1510.0,-1940.0,-1940.0,-1940.0,-1940.0,-1940.0,0,-1940.0
2018-02-27,-6740.0,6680.0,-6740.0,-6740.0,-6740.0,-6740.0,-6740.0,-6740.0,-6310.0,-6740.0,-6740.0,-6740.0,-6740.0,-6740.0,0,-6740.0
2018-02-28,-8410.0,5010.0,-8410.0,-8410.0,-8410.0,-8410.0,-8410.0,-8410.0,-6310.0,-8410.0,-8410.0,-8410.0,-8410.0,-8410.0,0,-8410.0
2018-03-01,-8980.0,5580.0,-8980.0,-8980.0,-8980.0,-8980.0,-8980.0,-8980.0,-6310.0,-8980.0,-8980.0,-8980.0,-8980.0,-8980.0,0,-8980.0
2018-03-02,-8570.0,5990.0,-8570.0,-8570.0,-8570.0,-8570.0,-8570.0,-8570.0,-6310.0,-8570.0,-8570.0,-8980.0,-8570.0,-8570.0,0,-8570.0
2018-03-05,-8160.0,5580.0,-8160.0,-8160.0,-8160.0,-8160.0,-8160.0,-8160.0,-6310.0,-8160.0,-8160.0,-8980.0,-8160.0,-8160.0,0,-8160.0
2018-03-06,-6680.0,7060.0,-6680.0,-6680.0,-6680.0,-6680.0,-6680.0,-6680.0,-6310.0,-6680.0,-6680.0,-7500.0,-6680.0,-6680.0,0,-6680.0
2018-03-07,-7990.0,5750.0,-7990.0,-7990.0,-7990.0,-7990.0,-7990.0,-7990.0,-6310.0,-7990.0,-7990.0,-8810.0,-7990.0,-7990.0,0,-7990.0
2018-03-08,-7560.0,6180.0,-7560.0,-7560.0,-7560.0,-7560.0,-7560.0,-7560.0,-6310.0,-7560.0,-7560.0,-8380.0,-7560.0,-7560.0,0,-7560.0
2018-03-09,-6880.0,6860.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6310.0,-6880.0,-6880.0,-7700.0,-6880.0,-6880.0,0,-6880.0
2018-03-12,-6450.0,7290.0,-6450.0,-6450.0,-6450.0,-6450.0,-6450.0,-6450.0,-6310.0,-6450.0,-6450.0,-7270.0,-6450.0,-6450.0,0,-6450.0
2018-03-13,-7850.0,5890.0,-7850.0,-7850.0,-7850.0,-7850.0,-7850.0,-7850.0,-6310.0,-7850.0,-7850.0,-8670.0,-7850.0,-7850.0,0,-7850.0
2018-03-14,-7690.0,6050.0,-7690.0,-7690.0,-7690.0,-7690.0,-7690.0,-7690.0,-6310.0,-7690.0,-7690.0,-8510.0,-7690.0,-7690.0,0,-7690.0
2018-03-15,-8330.0,5410.0,-8330.0,-8330.0,-8330.0,-8330.0,-8330.0,-8330.0,-6310.0,-8330.0,-8330.0,-9150.0,-8330.0,-8330.0,0,-8330.0
2018-03-16,-8690.0,5050.0,-8690.0,-8690.0,-8690.0,-8690.0,-8690.0,-8690.0,-6310.0,-8690.0,-8690.0,-9510.0,-8690.0,-8690.0,0,-8690.0
2018-03-19,-10040.0,3700.0,-10040.0,-10040.0,-10040.0,-10040.0,-10040.0,-10040.0,-6310.0,-10040.0,-10040.0,-10860.0,-10040.0,-10040.0,0,-10040.0
2018-03-20,-10170.0,3830.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,-6310.0,-10170.0,-10170.0,-10990.0,-10170.0,-10170.0,0,-10170.0
2018-03-21,-9710.0,4290.0,-9710.0,-9710.0,-9710.0,-9710.0,-9710.0,-9710.0,-6310.0,-9710.0,-9710.0,-10530.0,-9710.0,-9710.0,0,-9710.0
2018-03-22,-10900.0,5480.0,-10900.0,-10900.0,-10900.0,-10900.0,-10900.0,-10900.0,-6310.0,-10900.0,-10900.0,-11720.0,-10900.0,-10900.0,0,-10900.0
2018-03-23,-12900.0,3480.0,-12900.0,-12900.0,-12900.0,-12900.0,-12900.0,-12900.0,-6310.0,-12900.0,-12900.0,-13720.0,-12900.0,-12900.0,0,-12900.0
2018-03-26,-10850.0,5530.0,-10850.0,-10850.0,-10850.0,-10850.0,-10850.0,-10850.0,-6310.0,-10850.0,-10850.0,-11670.0,-10850.0,-10850.0,0,-10850.0
2018-03-27,-12100.0,4280.0,-12100.0,-12100.0,-12100.0,-12100.0,-12100.0,-12100.0,-6310.0,-12100.0,-12100.0,-12920.0,-12100.0,-12100.0,0,-12100.0
2018-03-28,-12900.0,3480.0,-12900.0,-12900.0,-12900.0,-12900.0,-12900.0,-12900.0,-6310.0,-12900.0,-12900.0,-13720.0,-12900.0,-12900.0,0,-12900.0
2018-03-29,-11050.0,5330.0,-11050.0,-11050.0,-11050.0,-11050.0,-11050.0,-11050.0,-6310.0,-11050.0,-11050.0,-11870.0,-11050.0,-11050.0,0,-11050.0
2018-04-02,-12780.0,3600.0,-12780.0,-12780.0,-12780.0,-12780.0,-12780.0,-12780.0,-6310.0,-12780.0,-12780.0,-13600.0,-12780.0,-12780.0,0,-12780.0
2018-04-03,-12040.0,4340.0,-12040.0,-12040.0,-12040.0,-12040.0,-12040.0,-12040.0,-6310.0,-12040.0,-12040.0,-12860.0,-12040.0,-12040.0,0,-12040.0
2018-04-04,-10560.0,5820.0,-10560.0,-10560.0,-10560.0,-10560.0,-10560.0,-10560.0,-6310.0,-10560.0,-10560.0,-11380.0,-10560.0,-10560.0,0,-10560.0
2018-04-05,-9430.0,4690.0,-9430.0,-9430.0,-9430.0,-9430.0,-9430.0,-9430.0,-5180.0,-9430.0,-9430.0,-10250.0,-9430.0,-9430.0,0,-9430.0
