Date,Baseline,BBP & OBV & WPR,BBP & RSI & WPR,BBP & AU & WPR,BBP & AD & WPR,BBP & S & WPR,OBV & RSI & WPR,OBV & AU & WPR,OBV & AD & WPR,OBV & S & WPR,RSI & AU & WPR,RSI & AD & WPR,RSI & S & WPR,AU & AD & WPR,AU & S & WPR,AD & S & WPR
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-01-03,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,0.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,0,-1700.0
2020-01-06,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,0.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,0,-2550.0
2020-01-07,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,0.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,0,-2500.0
2020-01-08,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,0.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,0,-2800.0
2020-01-09,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,0.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,0,-3370.0
2020-01-10,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,0.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,0,-3580.0
2020-01-13,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,0.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,0,-4320.0
2020-01-14,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,0.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,0,-3000.0
2020-01-15,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,0.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,0,-3880.0
2020-01-16,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,0.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,0,-3080.0
2020-01-17,-3870.0,-2290.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,0.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,0,-3870.0
2020-01-21,-4640.0,-3060.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,0.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,0,-4640.0
2020-01-22,-4190.0,-2610.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,0.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,0,-4190.0
2020-01-23,-6000.0,-4420.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,0.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,0,-6000.0
2020-01-24,-8120.0,-6540.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,0.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,0,-8120.0
2020-01-27,-12300.0,-10720.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,0.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,0,-12300.0
2020-01-28,-9830.0,-8250.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,0.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,0,-9830.0
2020-01-29,-12140.0,-10560.0,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,0.0,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,0,-12140.0
2020-01-30,-10390.0,-8810.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,0.0,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,0,-10390.0
2020-01-31,-9890.0,-8310.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,0.0,-9890.0,-9890.0,-9890.0,-9890.0,-9890.0,0,-9890.0
2020-02-03,-6880.0,-11320.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,0.0,-6880.0,-6880.0,-6880.0,-6880.0,-6880.0,0,-6880.0
2020-02-04,-3470.0,-14730.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,3410.0,-3470.0,-3470.0,-3470.0,-3470.0,-3470.0,0,-3470.0
2020-02-05,-6830.0,-11370.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,50.0,-6830.0,-6830.0,-6830.0,-6830.0,-6830.0,0,-6830.0
2020-02-06,-5500.0,-10040.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,1380.0,-5500.0,-5500.0,-5500.0,-5500.0,-5500.0,0,-5500.0
2020-02-07,-7180.0,-11720.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,-300.0,-7180.0,-7180.0,-7180.0,-7180.0,-7180.0,0,-7180.0
2020-02-10,-5610.0,-10150.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,1270.0,-5610.0,-5610.0,-5610.0,-5610.0,-5610.0,0,-5610.0
2020-02-11,-7190.0,-11730.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,-310.0,-7190.0,-7190.0,-7190.0,-7190.0,-7190.0,0,-7190.0
2020-02-12,-6350.0,-10890.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,530.0,-6350.0,-6350.0,-6350.0,-6350.0,-6350.0,0,-6350.0
2020-02-13,-7300.0,-11840.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-420.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,0,-7300.0
