Date,Baseline,OBV & RSI & BBP,OBV & AU & BBP,OBV & AD & BBP,OBV & S & BBP,RSI & AU & BBP,RSI & AD & BBP,RSI & S & BBP,AU & AD & BBP,AU & S & BBP,AD & S & BBP
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0
2020-01-06,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,-850.0
2020-01-07,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-800.0
2020-01-08,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,-500.0
2020-01-09,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,-1070.0
2020-01-10,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,-860.0
2020-01-13,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,-1600.0
2020-01-14,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,-2920.0
2020-01-15,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,-3800.0
2020-01-16,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,-4600.0
2020-01-17,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,-5390.0
2020-01-21,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,-4620.0
2020-01-22,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,-4170.0
2020-01-23,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-2360.0
2020-01-24,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,-4480.0
2020-01-27,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-300.0
2020-01-28,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,2170.0
