Date,Baseline,RSI & AU & OBV,RSI & AD & OBV,RSI & S & OBV,AU & AD & OBV,AU & S & OBV,AD & S & OBV
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,460.0,460.0,460.0,460.0,460.0,0.0,460.0
2018-01-04,410.0,410.0,410.0,410.0,410.0,0.0,410.0
2018-01-05,-180.0,-180.0,-180.0,-180.0,-180.0,0.0,-180.0
2018-01-08,-1740.0,-1740.0,-1740.0,-1740.0,-1740.0,0.0,-1740.0
2018-01-09,-1810.0,-1810.0,-1810.0,-1810.0,-1810.0,0.0,-1810.0
2018-01-10,-2270.0,-2270.0,-2270.0,-2270.0,-2270.0,0.0,-2270.0
2018-01-11,-790.0,-790.0,-790.0,-790.0,-790.0,0.0,-790.0
2018-01-12,650.0,650.0,650.0,650.0,650.0,0.0,650.0
2018-01-16,-1080.0,-1080.0,-1080.0,650.0,-1080.0,0.0,-1080.0
2018-01-17,160.0,160.0,160.0,1890.0,160.0,0.0,160.0
2018-01-18,-1350.0,-1350.0,-1350.0,1890.0,-1350.0,0.0,-1350.0
2018-01-19,-1180.0,-1180.0,-1180.0,2060.0,-1180.0,0.0,-1180.0
2018-01-22,-680.0,-680.0,-680.0,2060.0,-680.0,0.0,-680.0
2018-01-23,-1360.0,-1360.0,-1360.0,2060.0,-1360.0,0.0,-1360.0
2018-01-24,-1270.0,-1270.0,-1270.0,2060.0,-1270.0,-90.0,-1270.0
2018-01-25,-1220.0,-1220.0,-1220.0,2060.0,-1220.0,-140.0,-1220.0
2018-01-26,380.0,380.0,380.0,2060.0,380.0,-1740.0,380.0
2018-01-29,-260.0,-260.0,-260.0,2060.0,-260.0,-2380.0,-260.0
2018-01-30,-1650.0,-1650.0,-1650.0,2060.0,-1650.0,-3770.0,-1650.0
2018-01-31,-3050.0,-3050.0,-3050.0,2060.0,-3050.0,-2370.0,-3050.0
2018-02-01,-1280.0,-1280.0,-1280.0,2060.0,-1280.0,-600.0,-1280.0
2018-02-02,-3020.0,-3020.0,-3020.0,2060.0,-3020.0,-600.0,-3020.0
2018-02-05,-6910.0,-6910.0,-6910.0,-1830.0,-6910.0,-4490.0,-6910.0
2018-02-06,-5480.0,-5480.0,-5480.0,-400.0,-5480.0,-3060.0,-5480.0
2018-02-07,-6850.0,-6850.0,-6850.0,-400.0,-6850.0,-1690.0,-6850.0
2018-02-08,-10170.0,-10170.0,-10170.0,-400.0,-10170.0,-5010.0,-10170.0
2018-02-09,-8470.0,-8470.0,-8470.0,1300.0,-8470.0,-3310.0,-8470.0
2018-02-12,-8180.0,-8180.0,-8180.0,1300.0,-8180.0,-3600.0,-8180.0
2018-02-13,-7470.0,-7470.0,-7470.0,1300.0,-7470.0,-4310.0,-7470.0
2018-02-14,-7010.0,-7010.0,-7010.0,1300.0,-7010.0,-4770.0,-7010.0
2018-02-15,-6440.0,-6440.0,-6440.0,1300.0,-6440.0,-5340.0,-6440.0
2018-02-16,-5130.0,-5130.0,-5130.0,1300.0,-5130.0,-6650.0,-5130.0
2018-02-20,-5660.0,-5660.0,-5660.0,1300.0,-5660.0,-7180.0,-5660.0
2018-02-21,-6570.0,-6570.0,-6570.0,1300.0,-6570.0,-7180.0,-6570.0
2018-02-22,-6380.0,-6380.0,-6380.0,1300.0,-6380.0,-7370.0,-6380.0
2018-02-23,-4430.0,-4430.0,-4430.0,1300.0,-4430.0,-7370.0,-4430.0
2018-02-26,-1940.0,-1940.0,-1940.0,1300.0,-1940.0,-4880.0,-1940.0
2018-02-27,-6740.0,-6740.0,-6740.0,1300.0,-6740.0,-9680.0,-6740.0
2018-02-28,-8410.0,-8410.0,-8410.0,1300.0,-8410.0,-8010.0,-8410.0
2018-03-01,-8980.0,-8980.0,-8980.0,1300.0,-8980.0,-7440.0,-8980.0
2018-03-02,-8570.0,-8570.0,-8570.0,1300.0,-8570.0,-7030.0,-8570.0
2018-03-05,-8160.0,-8160.0,-8160.0,1300.0,-8160.0,-6620.0,-8160.0
2018-03-06,-6680.0,-6680.0,-6680.0,1300.0,-6680.0,-5140.0,-6680.0
2018-03-07,-7990.0,-7990.0,-7990.0,1300.0,-7990.0,-3830.0,-7990.0
2018-03-08,-7560.0,-7560.0,-7560.0,1300.0,-7560.0,-4260.0,-7560.0
2018-03-09,-6880.0,-6880.0,-6880.0,1300.0,-6880.0,-4940.0,-6880.0
2018-03-12,-6450.0,-6450.0,-6450.0,1300.0,-6450.0,-5370.0,-6450.0
2018-03-13,-7850.0,-7850.0,-7850.0,1300.0,-7850.0,-3970.0,-7850.0
2018-03-14,-7690.0,-7690.0,-7690.0,1300.0,-7690.0,-4130.0,-7690.0
2018-03-15,-8330.0,-8330.0,-8330.0,1300.0,-8330.0,-3490.0,-8330.0
2018-03-16,-8690.0,-8690.0,-8690.0,1300.0,-8690.0,-3130.0,-8690.0
2018-03-19,-10040.0,-10040.0,-10040.0,1300.0,-10040.0,-1780.0,-10040.0
2018-03-20,-10170.0,-10170.0,-10170.0,1300.0,-10170.0,-1910.0,-10170.0
2018-03-21,-9710.0,-9710.0,-9710.0,1300.0,-9710.0,-1450.0,-9710.0
2018-03-22,-10900.0,-10900.0,-10900.0,1300.0,-10900.0,-2640.0,-10900.0
2018-03-23,-12900.0,-12900.0,-12900.0,-700.0,-12900.0,-4640.0,-12900.0
2018-03-26,-10850.0,-10850.0,-10850.0,1350.0,-10850.0,-2590.0,-10850.0
2018-03-27,-12100.0,-12100.0,-12100.0,100.0,-12100.0,-1340.0,-12100.0
2018-03-28,-12900.0,-12900.0,-12900.0,-700.0,-12900.0,-540.0,-12900.0
2018-03-29,-11050.0,-11050.0,-11050.0,1150.0,-11050.0,1310.0,-11050.0
2018-04-02,-12780.0,-12780.0,-12780.0,1150.0,-12780.0,3040.0,-12780.0
2018-04-03,-12040.0,-12040.0,-12040.0,1150.0,-12040.0,3780.0,-12040.0
2018-04-04,-10560.0,-10560.0,-10560.0,1150.0,-10560.0,2300.0,-10560.0
2018-04-05,-9430.0,-9430.0,-9430.0,1150.0,-9430.0,2300.0,-9430.0
2018-04-06,-11140.0,-11140.0,-11140.0,1150.0,-11140.0,590.0,-11140.0
2018-04-09,-11770.0,-11770.0,-11770.0,1150.0,-11770.0,590.0,-11770.0
2018-04-10,-10150.0,-10150.0,-10150.0,1150.0,-10150.0,-1030.0,-10150.0
