Date,Baseline,RSI & AU & OBV,RSI & AD & OBV,RSI & S & OBV,AU & AD & OBV,AU & S & OBV,AD & S & OBV
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,-1700.0,-1700.0,-1700.0,-1700.0,-1700.0,1700.0,-1700.0
2020-01-06,-2550.0,-2550.0,-2550.0,-2550.0,-2550.0,2550.0,-2550.0
2020-01-07,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,2500.0,-2500.0
2020-01-08,-2800.0,-2800.0,-2800.0,-2800.0,-2800.0,2800.0,-2800.0
2020-01-09,-3370.0,-3370.0,-3370.0,-3370.0,-3370.0,3370.0,-3370.0
2020-01-10,-3580.0,-3580.0,-3580.0,-3580.0,-3580.0,3580.0,-3580.0
2020-01-13,-4320.0,-4320.0,-4320.0,-4320.0,-4320.0,4320.0,-4320.0
2020-01-14,-3000.0,-3000.0,-3000.0,-3000.0,-3000.0,3000.0,-3000.0
2020-01-15,-3880.0,-3880.0,-3880.0,-3880.0,-3880.0,3880.0,-3880.0
2020-01-16,-3080.0,-3080.0,-3080.0,-3080.0,-3080.0,3080.0,-3080.0
2020-01-17,-3870.0,-3870.0,-3870.0,-3870.0,-3870.0,3870.0,-3870.0
2020-01-21,-4640.0,-4640.0,-4640.0,-4640.0,-4640.0,4640.0,-4640.0
2020-01-22,-4190.0,-4190.0,-4190.0,-4190.0,-4190.0,4190.0,-4190.0
2020-01-23,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,6000.0,-6000.0
2020-01-24,-8120.0,-8120.0,-8120.0,-8120.0,-8120.0,3880.0,-8120.0
2020-01-27,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-300.0,-12300.0
2020-01-28,-9830.0,-9830.0,-9830.0,-9830.0,-9830.0,2170.0,-9830.0
2020-01-29,-12140.0,-12140.0,-12140.0,-12140.0,-12140.0,4480.0,-12140.0
2020-01-30,-10390.0,-10390.0,-10390.0,-10390.0,-10390.0,6230.0,-10390.0
2020-01-31,-9890.0,-9890.0,-9890.0,-10390.0,-9890.0,5730.0,-9890.0
2020-02-03,-6880.0,-6880.0,-6880.0,-10390.0,-6880.0,2720.0,-6880.0
2020-02-04,-3470.0,-3470.0,-3470.0,-10390.0,-3470.0,6130.0,-3470.0
2020-02-05,-6830.0,-6830.0,-6830.0,-10390.0,-6830.0,2770.0,-6830.0
2020-02-06,-5500.0,-5500.0,-5500.0,-9060.0,-5500.0,4100.0,-5500.0
2020-02-07,-7180.0,-7180.0,-7180.0,-10740.0,-7180.0,2420.0,-7180.0
2020-02-10,-5610.0,-5610.0,-5610.0,-9170.0,-5610.0,2420.0,-5610.0
2020-02-11,-7190.0,-7190.0,-7190.0,-10750.0,-7190.0,840.0,-7190.0
2020-02-12,-6350.0,-6350.0,-6350.0,-9910.0,-6350.0,840.0,-6350.0
2020-02-13,-7300.0,-7300.0,-7300.0,-9910.0,-7300.0,-110.0,-7300.0
2020-02-14,-8660.0,-8660.0,-8660.0,-9910.0,-8660.0,-110.0,-8660.0
