Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,Learner 6,Learner 7
-67350,34800,  16089.99999999997,  21010.00000000006,  54979.99999999994,  -56400.00000000006,  -32740.00000000003
-1500,-16620,  4539.999999999971,  -8389.999999999942,  -44659.99999999997,  6190.000000000058,  25889.999999999913
10530,-51900,  -41880.000000000146,  -27680.00000000003,  -17800.0,  53369.99999999994,  20489.999999999913
-6010,34380,  -15460.00000000003,  6830.000000000087,  -36860.00000000003,  -28500.0,  -49760.00000000003
43250,4890,  -2839.999999999971,  27629.99999999997,  -33830.00000000003,  -19440.0,  29879.99999999997
-32580,-24820,  -7290.000000000029,  26219.99999999994,  -44349.99999999994,  8930.00000000003,  27689.999999999884
-43320,52250,  52510.0,  34749.99999999997,  13959.999999999942,  -34310.00000000003,  63620.0
-18860,18700,  -18910.0,  -5850.000000000058,  28720.00000000003,  -9379.99999999997,  -24799.99999999997
39900,43010,  2429.999999999971,  15930.000000000058,  -31380.00000000006,  -40720.00000000003,  -24760.00000000003
-27380,17040,  19469.99999999997,  -93600.00000000006,  49929.99999999997,  -24949.99999999994,  -16729.99999999997
-30480,67490,  -5479.999999999971,  65000.00000000003,  38080.00000000012,  -35360.00000000009,  19170.000000000087
-3830,47910,  47030.0,  -8120.000000000029,  16800.000000000087,  29660.0,  11229.99999999997
1660,23020,  21170.00000000003,  50750.00000000012,  -6689.999999999971,  53520.0,  8780.000000000116
19990,54460,  -27790.00000000006,  -24110.000000000087,  20470.00000000003,  24519.99999999997,  29329.99999999994
-8410,-22620,  -9289.99999999997,  11100.00000000003,  -43849.99999999997,  -5609.999999999971,  -24829.99999999994
-10810,1210,  16270.0,  -16030.0,  -20539.99999999997,  -9449.99999999997,  -31139.99999999997
-130,-1750,  4979.999999999884,  25360.0,  24100.00000000003,  -13020.000000000058,  -10240.00000000003
40030,-18200,  -6280.000000000058,  3780.0,  -13660.00000000003,  -18410.000000000087,  30059.99999999994
600,-79260,  -35280.00000000003,  -39170.00000000006,  -21330.00000000006,  46980.00000000006,  37889.99999999994
-23530,-770,  -34360.00000000006,  29559.99999999994,  14669.99999999997,  -25210.0,  -24790.0
-37500,44280,  10899.999999999942,  -14080.000000000116,  58100.0,  -689.9999999999709,  -3400.0
35260,33300,  -930.0000000001164,  -49969.99999999997,  51150.0,  -14900.000000000087,  -3080.000000000058
6670,23080,  -14300.000000000087,  -25630.00000000006,  -920.0000000000291,  7959.999999999971,  34939.99999999997
-18130,2420,  -2779.999999999971,  -22370.00000000003,  -11680.00000000003,  -43729.99999999994,  -29580.00000000003
29210,20120,  -2519.999999999971,  -4309.999999999971,  -27019.99999999994,  -12130.000000000058,  47749.99999999997
22220,48490,  -27080.00000000006,  22769.999999999884,  28959.999999999884,  18649.99999999997,  17909.99999999997
24140,-27430,  -6060.0,  23169.99999999994,  -11490.0,  -47150.0,  13170.0
25850,16870,  -220.00000000011642,  8960.0,  21249.99999999997,  -13129.99999999997,  420.0
-43340,-28580,  5970.000000000058,  -21460.0,  -40840.0,  -38329.99999999997,  -49000.00000000006
25340,-40770,  22549.99999999994,  6929.999999999942,  2389.999999999971,  -57779.99999999997,  -11840.0
64810,34010,  29779.99999999994,  9860.000000000058,  32920.0,  57970.0,  26460.0
30460,40580,  27030.00000000003,  6210.000000000087,  21000.0,  -5589.999999999913,  24710.000000000087
62150,31560,  23040.00000000003,  23620.00000000006,  37250.0,  37089.99999999994,  50159.99999999997
14390,13320,  45219.99999999997,  39349.99999999994,  -1299.9999999999418,  10560.000000000058,  -28720.0
13690,-24340,  11649.99999999997,  12159.99999999997,  -209.9999999999709,  14370.0,  -22589.99999999997
